"Bill Of Material For pcicard.PCB"
"On 10-May-2016 at 09:35:54"

"Comment","Pattern","Quantity","Components"
"820R","2512","4","R248 R249 R250 R251"
"93LC56BSN","SO-8","1","U300"
"AD1858","SSOP20","1","U212"
"AD1877","SOL28/400","1","U111"
"AD746","SO-8","1","U109"
"AD7715","SOIC-16/300","3","U506 U507 U509"
"AD823","SO-8","4","U110 U210 U213 U408"
"AD825","SO-8","3","U214 U215 U216"
"AD826","SO-8","1","U207"
"AD828","SO-8","2","U208 U209"
"AD9042AST","TQFP44","1","U107"
"AD9631","SO-8","3","U101 U104 U105"
"AD9632","SO-8","4","U103 U106 U205 U206"
"AD9774AS","MQFP44","1","U204"
"ADG719BRM","RM-8","3","U508 U601 U605"
"B82131-A5402-M","AXIAL0.6/0.2","1","L399"
"B82790-C0113-N201","CMCHOKE1","2","T100 T200"
"B82790-C0474-N215","CMCHOKE1","1","T201"
"BAV99W","SOT-3230KA","3","D411 D602 D604"
"BAV99W","SOT-323A0K","1","D1"
"BAV99W","SOT-323AKC","18","D102 D103 D104 D105 D200 D201 D202 D203 D204 D205 D206 D207 D208"
,,,"D502 D503 D505 D506 D600"
"BC850","SOT-23BEC","1","Q202"
"BC860","SOT-23BEC","1","Q200"
"BCP51-16","SOT-223BCEC","1","Q603"
"BLM41P750SPT","1808","8","L400 L401 L402 L403 L404 L405 L411 L412"
"BSS138","SOT-23GSD","9","Q1 Q2 Q4 Q505 Q507 Q510 Q511 Q600 Q604"
"BSS84","SOT-23GSD","7","Q502 Q503 Q504 Q506 Q508 Q605 Q608"
"BZX84C10","SOT-23A0K","1","D507"
"BZX84C12","SOT-23A0K","2","D209 D210"
"BZX84C3V9","SOT-23A0K","2","D100 D101"
"BZX84C8V2","SOT-23A0K","3","D106 D107 D601"
"CD74ACT04","SO-14","1","U8"
"CD74ACT574","TSSOP20","2","U202 U203"
"CPC1035N","SO-4/6","2","SR5 SR6"
"DAC8512FS","SO-8","4","U500 U502 U504 U505"
"DG419DY","SO-8","2","U211 U217"
"ES1B","SMA","6","D400 D401 D407 D408 D603 D605"
"FMMT458","SOT-23BEC","1","Q601"
"FMMT558","SOT-23BEC","2","Q509 Q602"
"FZT853","SOT-223BCEC","1","Q203"
"FZT953","SOT-223BCEC","1","Q201"
"HCPL-2631","DIP8","5","T4 T5 T500 T501 T502"
"ISP","SMT6","1","CN4"
"LM239D","SO-14","1","U21"
"LM79L05ACM","SO-8","3","U403 U405 U602"
"MBRS130LT3","SMB","4","D402 D403 D404 D405"
"MC74HC174","SO-16","3","U301 U302 U303"
"MC78M15CDT","DPACK","1","U406"
"MC79M15CDT","DPACK","1","U407"
"MGD","PIN","1","CN5"
"MJE340","TO-126/ECB/H","1","Q610"
"MJE350","TO-126/ECB/H","1","Q607"
"MLS0805-4S7-121","1307","13","L1 L100 L200 L201 L406 L407 L408 L409 L410 L413 L414 L415 L416"
"NTC-B57620C103","0805","1","NTC1"
"OP279GS","SO-8","3","U102 U600 U604"
"PC817","DIP4S","3","T1 T2 T3"
"PCI32","CON_PCI32","1","CN300"
"PCI9054-AB50PI","PQFP-176","1","U2"
"REF192","SO-8","3","U511 U512 U514"
"RELAY","NAIS-TX2","17","REL1 REL2 REL3 REL4 REL5 REL6 REL7 REL8 REL9 REL10 REL11 REL12"
,,,"REL13 REL14 REL15 REL16 REL17"
"RJ-45","RJ-45/G","2","CN2 CN3"
"SMBJ5.0CA","SMB","4","D211 D212 D213 D504"
"SPANA","IDC20","1","CN100"
"Screen","PIN","1","TR401"
"Si4412DY","SO-8","3","Q400 Q401 Q402"
"TCXO 32MHz","DIP14/OSC","1","U7"
"TD310D","SO-16","1","U400"
"TRANSFORMER01","EFD20","1","TR400"
"ULN2003","SO-16","2","U9 U10"
"XC2S100-5","PQFP-208","1","U1"
"XC9536XL-10-VQ64","VQFP-64","1","U3"
"ZR78L05G","SOT-223","9","U6 U100 U200 U201 U401 U402 U404 U510 U513"
"uPD434008ALLE-A15","SOJ-36","2","U4 U5"

